==================================================
CIFAR-100 ResNet 訓練紀錄
==================================================
電腦名稱         : aero01
Python 版本      : 3.10.12
TensorFlow 版本  : 2.17.0
訓練裝置類型     : CUDA
裝置名稱         : NVIDIA L40S
CUDA 版本        : 12.3
訓練開始時間     : 2026-05-05 00:43:10
總訓練時間       : 65291.84 秒

--------------------------------------------------
Epoch    Loss       Train Acc    Test Acc     累計時間
462/5000  0.0164     99.48        71.13        6620.41s
463/5000  0.0156     99.52        71.06        6633.37s
464/5000  0.0146     99.51        70.79        6646.21s
465/5000  0.0151     99.51        71.88        6659.01s
466/5000  0.0153     99.49        70.99        6671.96s
467/5000  0.0137     99.57        71.20        6684.95s
468/5000  0.0139     99.56        71.31        6697.77s
469/5000  0.0128     99.55        70.85        6710.62s
470/5000  0.0149     99.54        70.82        6723.40s
471/5000  0.0150     99.52        71.36        6736.31s
472/5000  0.0149     99.53        71.02        6749.13s
473/5000  0.0146     99.57        70.82        6762.01s
474/5000  0.0158     99.49        70.97        6774.93s
475/5000  0.0162     99.46        71.30        6787.83s
476/5000  0.0140     99.55        71.80        6800.63s
477/5000  0.0137     99.59        71.29        6813.48s
478/5000  0.0130     99.62        71.59        6826.41s
479/5000  0.0126     99.61        72.25        6839.27s
480/5000  0.0126     99.59        71.32        6852.09s
481/5000  0.0136     99.53        70.86        6864.91s
482/5000  0.0170     99.44        71.42        6877.80s
483/5000  0.0142     99.55        71.60        6890.69s
484/5000  0.0126     99.62        71.88        6903.60s
485/5000  0.0168     99.50        71.44        6916.49s
486/5000  0.0144     99.54        71.61        6929.40s
487/5000  0.0145     99.52        71.41        6942.40s
488/5000  0.0145     99.56        71.45        6955.31s
489/5000  0.0153     99.56        71.59        6968.20s
490/5000  0.0125     99.63        71.57        6981.15s
491/5000  0.0116     99.63        71.80        6994.01s
492/5000  0.0110     99.65        71.49        7006.94s
493/5000  0.0154     99.55        71.38        7019.76s
494/5000  0.0143     99.52        70.96        7032.65s
495/5000  0.0130     99.59        71.02        7045.79s
496/5000  0.0123     99.64        72.12        7058.91s
497/5000  0.0144     99.57        71.08        7071.84s
498/5000  0.0131     99.58        70.53        7084.77s
499/5000  0.0145     99.56        71.29        7097.66s
500/5000  0.0131     99.59        71.48        7110.46s
501/5000  0.0127     99.57        71.41        7123.40s
502/5000  0.0135     99.59        70.82        7136.20s
503/5000  0.0148     99.54        71.54        7149.04s
