==================================================
CIFAR-100 ResNet 訓練紀錄
==================================================
電腦名稱         : aero01
Python 版本      : 3.10.12
TensorFlow 版本  : 2.17.0
訓練裝置類型     : CUDA
裝置名稱         : NVIDIA L40S
CUDA 版本        : 12.3
訓練開始時間     : 2026-05-05 00:43:10
總訓練時間       : 65291.84 秒

--------------------------------------------------
Epoch    Loss       Train Acc    Test Acc     累計時間
2688/5000  0.0019     99.95        74.03        35319.26s
2689/5000  0.0018     99.92        73.72        35332.06s
2690/5000  0.0014     99.95        73.30        35344.99s
2691/5000  0.0014     99.94        73.44        35357.81s
2692/5000  0.0017     99.94        73.63        35370.70s
2693/5000  0.0010     99.96        73.49        35383.68s
2694/5000  0.0011     99.96        73.86        35396.48s
2695/5000  0.0020     99.93        73.71        35409.39s
2696/5000  0.0017     99.92        73.60        35422.32s
2697/5000  0.0011     99.95        73.68        35435.22s
2698/5000  0.0015     99.94        73.70        35448.08s
2699/5000  0.0021     99.92        73.58        35460.99s
2700/5000  0.0013     99.95        73.57        35473.78s
2701/5000  0.0021     99.94        73.91        35486.57s
2702/5000  0.0015     99.93        73.96        35499.51s
2703/5000  0.0017     99.95        73.68        35512.43s
2704/5000  0.0016     99.95        73.83        35525.30s
2705/5000  0.0012     99.95        73.88        35538.23s
2706/5000  0.0025     99.92        73.92        35551.06s
2707/5000  0.0027     99.93        73.88        35563.92s
2708/5000  0.0016     99.96        73.71        35576.78s
2709/5000  0.0018     99.95        73.73        35589.71s
2710/5000  0.0019     99.94        73.96        35602.54s
2711/5000  0.0011     99.95        73.65        35615.51s
2712/5000  0.0016     99.94        73.52        35628.36s
2713/5000  0.0012     99.96        73.51        35641.22s
2714/5000  0.0019     99.95        73.49        35654.09s
2715/5000  0.0019     99.94        73.63        35666.98s
2716/5000  0.0019     99.94        73.56        35679.80s
2717/5000  0.0013     99.96        73.80        35692.69s
2718/5000  0.0020     99.94        73.74        35705.57s
2719/5000  0.0008     99.97        73.52        35718.39s
2720/5000  0.0018     99.93        73.21        35731.22s
2721/5000  0.0014     99.94        73.81        35744.05s
2722/5000  0.0017     99.94        73.57        35756.89s
2723/5000  0.0012     99.95        73.72        35769.88s
2724/5000  0.0014     99.95        73.75        35782.84s
2725/5000  0.0016     99.95        73.26        35795.69s
2726/5000  0.0017     99.95        73.54        35808.49s
2727/5000  0.0013     99.95        73.84        35821.40s
2728/5000  0.0016     99.95        73.54        35834.36s
2729/5000  0.0012     99.95        73.64        35847.18s
2730/5000  0.0012     99.95        73.61        35860.19s
2731/5000  0.0018     99.95        73.68        35873.02s
2732/5000  0.0017     99.94        73.63        35885.94s
2733/5000  0.0013     99.94        73.95        35898.69s
2734/5000  0.0020     99.94        73.70        35911.53s
2735/5000  0.0017     99.95        73.87        35924.42s
2736/5000  0.0014     99.95        73.73        35937.37s
2737/5000  0.0016     99.94        73.36        35950.32s
2738/5000  0.0014     99.95        73.16        35963.19s
2739/5000  0.0010     99.95        73.60        35976.10s
2740/5000  0.0023     99.94        73.37        35989.03s
2741/5000  0.0019     99.94        73.44        36001.99s
2742/5000  0.0016     99.94        73.41        36014.82s
2743/5000  0.0016     99.95        73.51        36027.78s
2744/5000  0.0011     99.95        73.59        36040.61s
2745/5000  0.0013     99.94        73.82        36053.56s
2746/5000  0.0010     99.97        73.48        36066.43s
2747/5000  0.0015     99.94        73.53        36079.15s
2748/5000  0.0017     99.93        73.52        36092.03s
2749/5000  0.0011     99.95        73.58        36104.92s
2750/5000  0.0011     99.94        73.73        36117.90s
2751/5000  0.0011     99.96        73.67        36130.82s
2752/5000  0.0015     99.94        73.53        36143.77s
2753/5000  0.0007     99.97        73.78        36156.60s
2754/5000  0.0019     99.95        73.84        36169.48s
2755/5000  0.0010     99.96        73.64        36182.40s
2756/5000  0.0019     99.94        73.82        36195.35s
2757/5000  0.0010     99.96        73.79        36208.28s
2758/5000  0.0010     99.96        73.97        36221.25s
2759/5000  0.0015     99.95        73.85        36234.21s
2760/5000  0.0017     99.95        73.33        36247.27s
2761/5000  0.0015     99.95        73.23        36260.43s
2762/5000  0.0015     99.95        73.14        36273.32s
2763/5000  0.0011     99.96        73.33        36286.17s
2764/5000  0.0019     99.94        73.31        36298.99s
2765/5000  0.0015     99.94        73.46        36311.85s
2766/5000  0.0017     99.95        73.17        36324.71s
2767/5000  0.0012     99.95        73.34        36337.62s
2768/5000  0.0019     99.94        73.26        36350.44s
2769/5000  0.0019     99.93        73.46        36363.33s
2770/5000  0.0014     99.94        73.25        36376.23s
2771/5000  0.0008     99.97        73.31        36389.24s
2772/5000  0.0024     99.93        73.20        36402.07s
2773/5000  0.0015     99.94        73.21        36415.13s
2774/5000  0.0011     99.96        73.34        36428.12s
2775/5000  0.0015     99.94        73.31        36441.04s
2776/5000  0.0017     99.93        73.18        36453.83s
2777/5000  0.0012     99.96        73.45        36466.58s
2778/5000  0.0009     99.96        73.52        36479.37s
2779/5000  0.0017     99.96        73.56        36492.31s
2780/5000  0.0010     99.96        73.46        36505.07s
2781/5000  0.0015     99.95        73.28        36517.88s
2782/5000  0.0016     99.94        73.28        36530.78s
2783/5000  0.0012     99.94        73.42        36543.55s
2784/5000  0.0008     99.97        73.60        36556.39s
2785/5000  0.0015     99.95        73.12        36569.26s
2786/5000  0.0013     99.95        73.17        36582.14s
2787/5000  0.0013     99.96        73.47        36594.96s
2788/5000  0.0016     99.94        73.25        36607.88s
2789/5000  0.0019     99.94        73.57        36620.77s
2790/5000  0.0015     99.96        73.87        36633.60s
2791/5000  0.0011     99.95        73.63        36646.47s
2792/5000  0.0017     99.95        73.75        36659.38s
2793/5000  0.0013     99.95        73.57        36672.22s
2794/5000  0.0013     99.95        73.86        36685.11s
2795/5000  0.0013     99.96        73.62        36697.95s
2796/5000  0.0013     99.95        73.69        36710.75s
2797/5000  0.0017     99.95        73.87        36723.53s
2798/5000  0.0009     99.96        73.99        36736.38s
2799/5000  0.0019     99.95        73.83        36749.30s
2800/5000  0.0018     99.93        73.83        36762.14s
2801/5000  0.0016     99.94        73.62        36774.99s
2802/5000  0.0011     99.96        73.81        36787.86s
2803/5000  0.0014     99.97        73.68        36800.67s
2804/5000  0.0018     99.93        73.55        36813.44s
2805/5000  0.0008     99.95        73.60        36826.28s
2806/5000  0.0016     99.95        73.47        36839.20s
2807/5000  0.0012     99.95        73.54        36852.07s
2808/5000  0.0013     99.94        73.45        36864.90s
2809/5000  0.0014     99.95        73.40        36877.75s
2810/5000  0.0011     99.95        73.50        36890.57s
2811/5000  0.0012     99.96        73.45        36903.37s
2812/5000  0.0010     99.94        73.71        36916.27s
2813/5000  0.0011     99.95        73.71        36929.07s
2814/5000  0.0016     99.95        73.57        36941.95s
2815/5000  0.0011     99.96        73.41        36954.76s
2816/5000  0.0018     99.94        73.29        36967.67s
2817/5000  0.0025     99.94        73.62        36980.51s
2818/5000  0.0011     99.94        73.66        36993.31s
2819/5000  0.0013     99.96        73.63        37006.18s
2820/5000  0.0009     99.96        73.75        37018.96s
2821/5000  0.0011     99.95        74.02        37031.78s
2822/5000  0.0011     99.94        73.76        37044.65s
2823/5000  0.0010     99.95        74.01        37057.57s
2824/5000  0.0011     99.96        73.89        37070.49s
2825/5000  0.0010     99.95        73.91        37083.33s
2826/5000  0.0013     99.95        73.81        37096.23s
2827/5000  0.0008     99.95        73.86        37109.13s
2828/5000  0.0014     99.95        73.57        37122.05s
2829/5000  0.0018     99.95        73.55        37134.93s
2830/5000  0.0015     99.94        73.41        37147.83s
2831/5000  0.0018     99.95        73.27        37160.64s
2832/5000  0.0018     99.94        73.41        37173.51s
2833/5000  0.0019     99.93        73.22        37186.38s
2834/5000  0.0027     99.93        73.64        37199.29s
2835/5000  0.0018     99.94        73.83        37212.17s
2836/5000  0.0016     99.95        73.73        37225.07s
2837/5000  0.0009     99.95        73.70        37237.94s
2838/5000  0.0012     99.95        73.71        37250.80s
2839/5000  0.0009     99.96        73.57        37263.70s
2840/5000  0.0011     99.96        73.55        37276.60s
2841/5000  0.0017     99.95        73.56        37289.48s
2842/5000  0.0013     99.95        73.57        37302.31s
2843/5000  0.0017     99.94        73.45        37315.14s
2844/5000  0.0015     99.95        73.45        37327.94s
2845/5000  0.0008     99.97        73.50        37340.82s
2846/5000  0.0016     99.95        73.53        37353.77s
2847/5000  0.0017     99.94        73.45        37366.60s
2848/5000  0.0012     99.94        73.59        37379.41s
2849/5000  0.0009     99.97        73.85        37392.29s
2850/5000  0.0013     99.96        73.63        37405.16s
2851/5000  0.0008     99.96        73.62        37418.11s
2852/5000  0.0009     99.96        73.45        37430.98s
2853/5000  0.0008     99.97        73.49        37443.95s
2854/5000  0.0013     99.95        73.46        37456.80s
2855/5000  0.0019     99.94        73.12        37469.63s
2856/5000  0.0019     99.92        73.26        37482.49s
2857/5000  0.0009     99.96        73.28        37495.35s
2858/5000  0.0017     99.94        73.39        37508.24s
2859/5000  0.0012     99.95        73.50        37521.16s
2860/5000  0.0010     99.96        73.65        37533.99s
2861/5000  0.0013     99.95        73.41        37546.75s
2862/5000  0.0014     99.94        73.47        37559.68s
2863/5000  0.0019     99.92        73.31        37572.57s
2864/5000  0.0010     99.96        73.41        37585.48s
2865/5000  0.0015     99.96        73.38        37598.32s
2866/5000  0.0012     99.96        73.54        37611.17s
2867/5000  0.0016     99.95        73.34        37624.03s
2868/5000  0.0013     99.95        73.47        37636.87s
2869/5000  0.0007     99.97        73.72        37649.68s
2870/5000  0.0008     99.97        73.32        37662.49s
2871/5000  0.0015     99.96        73.34        37675.25s
2872/5000  0.0010     99.96        73.56        37688.12s
2873/5000  0.0022     99.94        73.39        37700.98s
2874/5000  0.0011     99.96        73.43        37713.85s
2875/5000  0.0011     99.96        73.54        37726.78s
2876/5000  0.0012     99.95        73.67        37739.71s
2877/5000  0.0018     99.96        73.48        37752.64s
2878/5000  0.0015     99.94        73.39        37765.68s
2879/5000  0.0008     99.96        73.28        37778.60s
2880/5000  0.0012     99.96        73.63        37791.55s
2881/5000  0.0012     99.96        73.35        37804.47s
2882/5000  0.0012     99.95        73.51        37817.34s
2883/5000  0.0010     99.96        73.68        37830.27s
2884/5000  0.0008     99.98        73.68        37843.21s
2885/5000  0.0010     99.95        73.52        37856.15s
2886/5000  0.0012     99.96        73.58        37869.00s
2887/5000  0.0015     99.95        73.29        37881.91s
2888/5000  0.0008     99.95        73.49        37894.75s
2889/5000  0.0015     99.95        73.31        37907.60s
2890/5000  0.0017     99.95        73.41        37920.40s
2891/5000  0.0009     99.96        73.44        37933.15s
2892/5000  0.0006     99.96        73.74        37946.14s
2893/5000  0.0011     99.95        73.57        37959.18s
2894/5000  0.0013     99.95        73.40        37972.09s
2895/5000  0.0013     99.96        73.61        37984.96s
2896/5000  0.0012     99.94        73.52        37997.82s
2897/5000  0.0009     99.95        73.59        38010.81s
2898/5000  0.0011     99.96        73.48        38023.81s
2899/5000  0.0007     99.96        73.53        38036.66s
2900/5000  0.0017     99.95        73.49        38049.47s
2901/5000  0.0008     99.96        73.43        38062.29s
2902/5000  0.0014     99.95        73.49        38075.31s
2903/5000  0.0012     99.96        73.65        38088.21s
2904/5000  0.0011     99.96        73.48        38101.09s
2905/5000  0.0010     99.96        73.31        38113.96s
2906/5000  0.0010     99.95        73.40        38126.79s
2907/5000  0.0012     99.96        73.35        38139.61s
2908/5000  0.0026     99.94        73.06        38152.46s
2909/5000  0.0020     99.95        73.06        38165.22s
2910/5000  0.0011     99.95        72.92        38178.20s
2911/5000  0.0019     99.96        73.21        38191.12s
2912/5000  0.0006     99.97        73.23        38204.05s
2913/5000  0.0012     99.95        73.42        38216.86s
2914/5000  0.0015     99.95        73.39        38229.82s
2915/5000  0.0008     99.97        73.26        38242.83s
2916/5000  0.0012     99.95        73.34        38255.79s
2917/5000  0.0010     99.96        73.44        38268.69s
2918/5000  0.0007     99.97        73.35        38281.60s
2919/5000  0.0012     99.96        73.37        38294.74s
2920/5000  0.0016     99.94        73.14        38307.63s
2921/5000  0.0012     99.95        73.13        38320.48s
2922/5000  0.0010     99.95        73.44        38333.34s
2923/5000  0.0007     99.96        73.67        38346.19s
2924/5000  0.0008     99.95        73.48        38359.01s
2925/5000  0.0013     99.96        73.37        38371.79s
2926/5000  0.0012     99.94        73.55        38384.64s
2927/5000  0.0011     99.95        73.31        38397.60s
2928/5000  0.0011     99.96        73.05        38410.52s
2929/5000  0.0012     99.96        72.98        38423.32s
2930/5000  0.0010     99.96        73.47        38436.13s
2931/5000  0.0008     99.97        73.57        38448.93s
2932/5000  0.0014     99.96        73.75        38461.76s
2933/5000  0.0010     99.96        73.49        38474.67s
2934/5000  0.0010     99.97        73.08        38487.57s
2935/5000  0.0017     99.94        73.47        38500.55s
2936/5000  0.0009     99.97        73.60        38513.42s
2937/5000  0.0011     99.95        73.40        38526.26s
2938/5000  0.0010     99.96        73.58        38539.28s
2939/5000  0.0013     99.96        73.38        38552.15s
2940/5000  0.0014     99.96        73.49        38565.25s
2941/5000  0.0017     99.93        73.44        38578.19s
2942/5000  0.0010     99.96        73.54        38591.07s
2943/5000  0.0014     99.95        73.62        38604.00s
2944/5000  0.0020     99.94        73.68        38616.89s
2945/5000  0.0018     99.95        73.66        38629.71s
2946/5000  0.0014     99.94        73.61        38642.60s
2947/5000  0.0017     99.94        73.96        38655.48s
2948/5000  0.0016     99.95        73.48        38668.36s
2949/5000  0.0012     99.96        73.47        38681.34s
2950/5000  0.0009     99.96        73.44        38694.18s
2951/5000  0.0010     99.96        73.53        38707.02s
2952/5000  0.0008     99.96        73.68        38719.95s
2953/5000  0.0013     99.96        73.56        38732.91s
2954/5000  0.0013     99.95        73.50        38745.83s
2955/5000  0.0013     99.96        73.54        38758.68s
2956/5000  0.0014     99.95        73.40        38771.64s
2957/5000  0.0012     99.96        73.63        38784.54s
2958/5000  0.0011     99.96        73.68        38797.46s
2959/5000  0.0009     99.96        73.51        38810.50s
2960/5000  0.0012     99.96        73.90        38823.95s
2961/5000  0.0007     99.97        73.75        38837.10s
2962/5000  0.0013     99.95        73.46        38850.09s
2963/5000  0.0012     99.95        73.75        38863.09s
2964/5000  0.0012     99.95        73.79        38876.08s
2965/5000  0.0015     99.95        73.82        38889.02s
2966/5000  0.0013     99.95        73.73        38901.96s
2967/5000  0.0009     99.96        73.85        38914.91s
2968/5000  0.0010     99.96        74.03        38927.83s
2969/5000  0.0011     99.96        73.60        38940.87s
2970/5000  0.0009     99.96        73.50        38953.83s
2971/5000  0.0013     99.96        73.83        38966.79s
2972/5000  0.0013     99.95        73.57        38979.79s
2973/5000  0.0015     99.95        73.53        38992.76s
2974/5000  0.0014     99.95        73.44        39005.73s
2975/5000  0.0009     99.96        73.58        39018.60s
2976/5000  0.0010     99.96        73.44        39031.51s
2977/5000  0.0014     99.96        73.52        39044.35s
2978/5000  0.0015     99.95        73.46        39057.29s
2979/5000  0.0007     99.97        73.43        39070.37s
2980/5000  0.0014     99.94        73.51        39083.41s
2981/5000  0.0007     99.97        73.45        39096.31s
2982/5000  0.0008     99.96        73.60        39109.34s
2983/5000  0.0007     99.97        73.56        39122.25s
2984/5000  0.0013     99.96        73.76        39135.21s
2985/5000  0.0013     99.96        73.55        39148.22s
2986/5000  0.0009     99.95        73.62        39161.15s
2987/5000  0.0013     99.96        73.63        39174.17s
2988/5000  0.0011     99.96        73.68        39187.27s
2989/5000  0.0008     99.95        73.63        39200.19s
2990/5000  0.0010     99.95        73.78        39213.13s
2991/5000  0.0011     99.95        73.68        39226.01s
2992/5000  0.0011     99.97        73.70        39238.95s
2993/5000  0.0010     99.96        73.62        39251.84s
2994/5000  0.0006     99.98        73.51        39264.90s
2995/5000  0.0011     99.96        73.57        39277.76s
2996/5000  0.0008     99.96        73.59        39290.78s
2997/5000  0.0009     99.96        73.55        39303.70s
2998/5000  0.0012     99.95        73.52        39316.59s
2999/5000  0.0007     99.97        73.67        39329.47s
3000/5000  0.0010     99.96        73.63        39342.38s
3001/5000  0.0007     99.96        73.75        39355.32s
3002/5000  0.0006     99.97        73.72        39368.12s
3003/5000  0.0010     99.96        73.77        39381.05s
3004/5000  0.0011     99.96        73.51        39393.93s
3005/5000  0.0012     99.96        73.58        39406.84s
3006/5000  0.0010     99.96        73.73        39419.73s
3007/5000  0.0008     99.97        73.55        39432.62s
3008/5000  0.0008     99.97        73.80        39445.43s
3009/5000  0.0014     99.95        73.24        39458.29s
3010/5000  0.0013     99.96        73.66        39471.15s
3011/5000  0.0008     99.96        73.64        39484.09s
3012/5000  0.0011     99.95        73.59        39497.10s
3013/5000  0.0010     99.97        73.59        39509.96s
3014/5000  0.0012     99.96        73.67        39522.84s
3015/5000  0.0007     99.96        73.45        39535.78s
3016/5000  0.0013     99.95        73.77        39548.81s
3017/5000  0.0008     99.96        73.31        39561.64s
3018/5000  0.0008     99.96        73.40        39574.50s
3019/5000  0.0007     99.97        73.55        39587.39s
3020/5000  0.0011     99.95        73.12        39600.38s
3021/5000  0.0011     99.95        73.43        39613.30s
3022/5000  0.0009     99.96        73.73        39626.24s
3023/5000  0.0008     99.96        73.64        39639.17s
3024/5000  0.0017     99.96        73.54        39652.04s
3025/5000  0.0007     99.97        73.66        39664.94s
3026/5000  0.0015     99.95        73.64        39677.91s
3027/5000  0.0012     99.96        73.46        39690.84s
3028/5000  0.0011     99.96        73.60        39703.72s
3029/5000  0.0006     99.97        73.86        39716.53s
3030/5000  0.0006     99.97        73.76        39729.41s
3031/5000  0.0012     99.96        73.44        39742.28s
3032/5000  0.0012     99.96        73.76        39755.17s
3033/5000  0.0009     99.96        73.80        39767.97s
3034/5000  0.0006     99.98        73.74        39780.93s
3035/5000  0.0012     99.96        73.75        39793.79s
3036/5000  0.0014     99.96        73.69        39806.64s
3037/5000  0.0009     99.96        73.71        39819.55s
3038/5000  0.0015     99.95        73.46        39832.44s
3039/5000  0.0008     99.97        73.64        39845.27s
3040/5000  0.0008     99.96        73.61        39858.23s
3041/5000  0.0009     99.95        73.63        39871.13s
3042/5000  0.0009     99.96        73.70        39884.06s
3043/5000  0.0012     99.96        73.36        39896.97s
3044/5000  0.0011     99.96        73.37        39909.82s
3045/5000  0.0013     99.96        73.33        39922.78s
3046/5000  0.0010     99.96        73.49        39935.79s
3047/5000  0.0008     99.96        73.66        39948.85s
3048/5000  0.0008     99.96        73.48        39961.80s
3049/5000  0.0010     99.96        73.26        39974.73s
3050/5000  0.0008     99.97        73.44        39987.65s
3051/5000  0.0007     99.97        73.65        40000.50s
3052/5000  0.0015     99.95        73.38        40013.39s
3053/5000  0.0008     99.96        73.22        40026.39s
3054/5000  0.0013     99.95        73.58        40039.44s
3055/5000  0.0012     99.95        73.65        40052.40s
3056/5000  0.0009     99.97        73.55        40065.34s
3057/5000  0.0010     99.97        73.66        40078.27s
3058/5000  0.0009     99.97        73.57        40091.24s
3059/5000  0.0009     99.97        73.56        40104.17s
3060/5000  0.0011     99.96        73.43        40117.13s
3061/5000  0.0018     99.96        73.64        40130.04s
3062/5000  0.0010     99.96        73.71        40143.00s
3063/5000  0.0012     99.96        73.62        40155.82s
3064/5000  0.0008     99.97        73.50        40168.68s
3065/5000  0.0008     99.97        73.65        40181.54s
3066/5000  0.0007     99.97        73.68        40194.41s
3067/5000  0.0008     99.96        73.79        40207.26s
3068/5000  0.0007     99.97        73.52        40220.27s
3069/5000  0.0007     99.96        73.38        40233.29s
3070/5000  0.0012     99.96        73.30        40246.19s
3071/5000  0.0008     99.97        73.42        40259.05s
3072/5000  0.0011     99.96        73.23        40271.92s
3073/5000  0.0018     99.95        73.43        40284.74s
3074/5000  0.0013     99.96        73.48        40297.58s
3075/5000  0.0010     99.96        73.54        40310.51s
3076/5000  0.0009     99.97        73.45        40323.40s
3077/5000  0.0012     99.95        73.37        40336.27s
3078/5000  0.0010     99.96        73.65        40349.17s
3079/5000  0.0008     99.97        73.52        40362.15s
3080/5000  0.0012     99.96        73.36        40375.13s
3081/5000  0.0008     99.96        73.53        40388.30s
3082/5000  0.0010     99.97        73.40        40401.37s
3083/5000  0.0012     99.97        73.16        40414.21s
3084/5000  0.0008     99.96        73.41        40427.21s
3085/5000  0.0017     99.96        73.50        40440.08s
3086/5000  0.0012     99.95        73.55        40453.04s
3087/5000  0.0007     99.97        73.46        40465.84s
3088/5000  0.0009     99.97        73.60        40478.75s
3089/5000  0.0006     99.96        73.56        40491.71s
3090/5000  0.0015     99.95        73.34        40504.58s
3091/5000  0.0010     99.95        73.44        40517.48s
3092/5000  0.0011     99.95        73.29        40530.38s
3093/5000  0.0005     99.97        73.49        40543.25s
3094/5000  0.0011     99.97        73.38        40556.14s
3095/5000  0.0013     99.96        73.32        40569.01s
3096/5000  0.0012     99.96        73.16        40581.94s
3097/5000  0.0008     99.96        73.41        40594.86s
3098/5000  0.0007     99.98        73.40        40607.71s
3099/5000  0.0012     99.95        73.35        40620.63s
3100/5000  0.0012     99.95        73.49        40633.53s
3101/5000  0.0012     99.96        73.40        40646.45s
3102/5000  0.0010     99.97        73.48        40659.44s
3103/5000  0.0011     99.95        73.47        40672.44s
3104/5000  0.0013     99.95        73.42        40685.44s
3105/5000  0.0005     99.97        73.22        40698.45s
3106/5000  0.0006     99.97        73.28        40711.37s
3107/5000  0.0018     99.96        73.25        40724.42s
3108/5000  0.0007     99.97        73.43        40737.38s
3109/5000  0.0011     99.96        73.03        40750.29s
3110/5000  0.0013     99.95        73.13        40763.21s
3111/5000  0.0010     99.96        73.13        40776.14s
3112/5000  0.0015     99.95        72.89        40788.93s
3113/5000  0.0014     99.95        73.22        40801.94s
3114/5000  0.0010     99.95        73.29        40814.88s
3115/5000  0.0008     99.97        73.43        40827.80s
3116/5000  0.0006     99.97        73.15        40840.78s
3117/5000  0.0010     99.97        73.28        40853.84s
3118/5000  0.0010     99.96        73.53        40866.86s
3119/5000  0.0009     99.97        73.19        40879.75s
3120/5000  0.0011     99.96        73.56        40892.74s
3121/5000  0.0007     99.97        73.68        40905.68s
3122/5000  0.0006     99.96        73.58        40918.57s
3123/5000  0.0005     99.97        73.61        40931.59s
3124/5000  0.0005     99.98        73.70        40944.61s
3125/5000  0.0008     99.97        73.63        40957.50s
3126/5000  0.0007     99.97        73.78        40970.44s
3127/5000  0.0010     99.95        73.64        40983.18s
3128/5000  0.0008     99.96        73.49        40996.16s
3129/5000  0.0009     99.96        73.39        41009.24s
3130/5000  0.0008     99.97        73.63        41022.01s
3131/5000  0.0011     99.95        73.69        41034.90s
3132/5000  0.0008     99.97        73.78        41047.85s
3133/5000  0.0007     99.96        73.90        41060.75s
3134/5000  0.0012     99.95        73.88        41073.60s
3135/5000  0.0006     99.98        73.61        41086.46s
3136/5000  0.0011     99.97        73.72        41099.40s
3137/5000  0.0007     99.96        73.53        41112.74s
3138/5000  0.0011     99.95        73.49        41125.63s
3139/5000  0.0007     99.97        73.63        41138.83s
3140/5000  0.0007     99.97        73.65        41151.82s
3141/5000  0.0010     99.96        73.80        41164.76s
3142/5000  0.0009     99.97        73.85        41177.82s
3143/5000  0.0009     99.97        73.76        41190.88s
3144/5000  0.0010     99.96        73.96        41203.93s
3145/5000  0.0012     99.96        73.85        41217.02s
3146/5000  0.0018     99.94        74.03        41229.99s
3147/5000  0.0007     99.97        73.81        41243.19s
3148/5000  0.0009     99.97        73.78        41256.62s
3149/5000  0.0009     99.96        74.05        41269.67s
3150/5000  0.0007     99.97        73.98        41282.68s
3151/5000  0.0005     99.98        73.89        41295.66s
3152/5000  0.0014     99.96        73.66        41308.61s
3153/5000  0.0006     99.97        73.84        41321.59s
3154/5000  0.0007     99.97        73.98        41334.54s
3155/5000  0.0008     99.96        73.91        41347.53s
3156/5000  0.0009     99.97        73.76        41360.45s
3157/5000  0.0011     99.96        73.65        41373.39s
3158/5000  0.0007     99.97        73.89        41386.26s
3159/5000  0.0008     99.97        73.66        41399.13s
3160/5000  0.0009     99.96        73.73        41412.12s
3161/5000  0.0010     99.96        73.90        41424.93s
3162/5000  0.0007     99.96        73.78        41437.92s
3163/5000  0.0009     99.97        73.70        41450.84s
3164/5000  0.0005     99.97        73.70        41463.84s
3165/5000  0.0006     99.96        73.52        41476.70s
3166/5000  0.0007     99.97        73.51        41489.52s
3167/5000  0.0012     99.94        73.50        41502.37s
3168/5000  0.0007     99.98        73.64        41515.35s
3169/5000  0.0006     99.97        73.63        41528.30s
3170/5000  0.0010     99.95        73.51        41541.30s
3171/5000  0.0006     99.98        73.71        41554.17s
3172/5000  0.0007     99.98        74.05        41567.07s
3173/5000  0.0011     99.97        73.80        41580.01s
3174/5000  0.0006     99.97        73.63        41592.94s
3175/5000  0.0009     99.97        73.89        41605.75s
3176/5000  0.0007     99.97        73.74        41618.57s
3177/5000  0.0008     99.97        73.61        41631.38s
3178/5000  0.0006     99.97        73.71        41644.34s
3179/5000  0.0013     99.95        73.47        41657.25s
3180/5000  0.0011     99.96        73.62        41670.11s
3181/5000  0.0008     99.96        73.58        41683.07s
3182/5000  0.0009     99.96        73.64        41695.94s
3183/5000  0.0008     99.96        73.59        41708.91s
3184/5000  0.0010     99.96        73.62        41721.84s
3185/5000  0.0009     99.97        73.55        41734.73s
3186/5000  0.0010     99.96        73.64        41747.63s
3187/5000  0.0006     99.97        73.68        41760.74s
3188/5000  0.0008     99.96        73.67        41773.60s
3189/5000  0.0015     99.95        73.52        41786.54s
3190/5000  0.0008     99.96        73.75        41799.51s
3191/5000  0.0009     99.97        73.55        41812.45s
3192/5000  0.0014     99.96        73.72        41825.42s
3193/5000  0.0010     99.97        73.86        41838.45s
3194/5000  0.0007     99.96        73.67        41851.47s
3195/5000  0.0007     99.97        73.87        41864.50s
3196/5000  0.0008     99.96        74.04        41877.56s
3197/5000  0.0008     99.97        73.77        41890.51s
3198/5000  0.0008     99.96        73.77        41903.47s
3199/5000  0.0008     99.97        73.75        41916.30s
3200/5000  0.0008     99.96        73.63        41929.20s
3201/5000  0.0006     99.97        73.92        41942.15s
3202/5000  0.0007     99.96        73.92        41955.04s
3203/5000  0.0010     99.95        74.07        41967.90s
3204/5000  0.0012     99.96        74.00        41980.90s
3205/5000  0.0005     99.97        74.19        41993.70s
3206/5000  0.0013     99.96        74.01        42006.81s
3207/5000  0.0007     99.96        73.86        42019.73s
3208/5000  0.0007     99.97        74.12        42032.61s
3209/5000  0.0006     99.97        73.99        42045.53s
3210/5000  0.0006     99.97        74.09        42058.40s
3211/5000  0.0006     99.97        73.85        42071.28s
3212/5000  0.0007     99.97        73.94        42084.13s
3213/5000  0.0009     99.96        73.92        42097.14s
3214/5000  0.0011     99.97        74.15        42110.04s
3215/5000  0.0007     99.97        74.00        42122.87s
3216/5000  0.0009     99.96        73.95        42135.77s
3217/5000  0.0007     99.97        73.94        42148.66s
3218/5000  0.0005     99.97        73.96        42161.53s
3219/5000  0.0006     99.97        73.96        42174.41s
3220/5000  0.0008     99.96        74.14        42187.28s
3221/5000  0.0013     99.96        73.98        42200.17s
3222/5000  0.0008     99.96        73.93        42213.03s
3223/5000  0.0005     99.97        73.88        42225.96s
3224/5000  0.0007     99.97        73.83        42238.76s
3225/5000  0.0006     99.97        73.93        42251.62s
3226/5000  0.0006     99.97        73.79        42264.53s
3227/5000  0.0010     99.96        73.54        42277.41s
3228/5000  0.0012     99.96        73.66        42290.35s
3229/5000  0.0005     99.98        73.77        42303.30s
3230/5000  0.0008     99.98        73.84        42316.14s
3231/5000  0.0007     99.96        73.62        42328.98s
3232/5000  0.0006     99.97        73.78        42341.98s
3233/5000  0.0008     99.97        73.75        42354.83s
3234/5000  0.0007     99.97        73.77        42367.72s
3235/5000  0.0007     99.96        73.48        42380.57s
3236/5000  0.0007     99.96        73.53        42393.52s
3237/5000  0.0005     99.97        73.63        42406.40s
3238/5000  0.0010     99.96        73.93        42419.30s
3239/5000  0.0012     99.96        73.80        42432.30s
